;Ano_de_Fabricacion;Tasacion_millones;Marca_encoded;Numero_asientos;Monto_Total_miles;Numero_Cuota_Permiso
0;2018;13;37;4;3;0
1;2024;15;54;5;2;1
2;2016;4;113;4;0;0
3;2023;8;19;4;1;0
4;2022;8;30;5;1;0
5;2015;13;37;5;3;0
6;2010;3;54;3;0;0
7;2022;10;63;5;1;1
8;2022;7;16;5;1;0
9;2015;5;84;5;1;0
10;2017;5;19;5;1;0
11;2021;16;54;3;3;0
12;2017;4;113;4;0;0
13;2019;5;38;3;1;0
14;2011;3;99;4;0;0
15;2021;7;86;5;1;0
16;1999;1;91;4;0;0
17;2016;5;42;5;1;0
18;2012;2;44;5;0;0
19;1997;1;91;4;0;0
20;2021;6;19;2;1;0
21;2022;21;88;5;6;0
22;2022;16;54;2;4;0
23;2024;12;114;7;1;1
24;2019;8;113;4;1;0
25;2022;9;19;4;2;0
26;2000;1;23;5;0;0
27;2020;1;113;2;0;0
28;2021;14;19;7;1;1
29;2010;1;113;5;0;0
30;2023;9;59;5;1;0
31;2020;4;126;1;0;0
32;2020;13;88;5;1;1
33;2013;6;55;3;1;0
34;2014;8;71;5;1;0
35;2013;5;71;2;1;0
36;2018;1;50;1;0;0
37;2022;15;54;2;3;0
38;2017;4;123;5;0;0
39;2022;14;88;5;3;0
40;2014;8;116;5;1;0
41;2021;9;113;5;1;0
42;2021;8;86;5;1;0
43;2011;2;19;5;0;0
44;2013;6;19;5;1;0
45;2021;9;86;4;1;1
46;2021;10;81;2;2;0
47;2020;3;113;5;0;0
48;2015;4;113;5;0;0
49;2024;14;30;5;3;0
50;2024;13;19;5;1;1
51;2024;9;38;5;1;1
52;2022;13;37;5;1;1
53;2021;8;16;4;1;1
54;2010;2;19;5;0;0
55;2013;3;113;5;0;0
56;2009;2;99;3;0;0
57;2017;5;54;4;1;0
58;2017;11;57;5;2;0
59;2023;3;73;1;0;0
60;2022;15;18;5;2;1
61;1999;1;91;5;0;0
62;2009;3;95;5;0;0
63;2002;1;95;5;0;1
64;2017;4;54;5;0;0
65;2023;2;1;1;0;0
66;2008;2;36;4;0;0
67;2017;11;37;4;1;1
68;2024;1;69;2;0;0
69;2018;9;71;2;2;0
70;2013;5;54;5;1;0
71;2018;6;113;5;1;0
72;2019;23;37;5;6;0
73;2022;13;42;5;1;1
74;2014;2;113;5;0;0
75;2021;9;113;5;1;0
76;2024;10;74;4;2;0
77;2013;3;113;5;0;0
78;2018;5;91;5;1;0
79;2020;1;113;4;0;1
80;2008;2;19;3;0;0
81;2017;8;54;5;1;1
82;2023;18;109;5;4;0
83;2019;4;38;4;0;1
84;2020;12;116;5;2;0
85;2016;4;32;5;0;0
86;2014;4;54;5;0;0
87;2024;9;38;5;1;0
88;2025;22;65;5;6;0
89;2019;5;59;4;1;0
90;1992;0;75;5;0;0
91;2008;2;54;5;0;0
92;2018;7;59;4;1;0
93;2024;22;37;5;6;0
94;2018;1;50;2;0;0
95;2021;8;86;4;1;1
96;2021;7;32;5;1;0
97;2019;3;126;4;0;0
98;2024;9;41;5;2;0
99;2012;5;85;2;1;0
100;1994;1;111;5;0;0
101;2018;4;59;5;0;0
102;2004;4;54;7;0;0
103;2018;1;7;2;0;0
104;2002;2;54;5;0;0
105;2023;9;86;4;1;0
106;2017;5;71;4;0;1
107;2021;16;54;3;3;0
108;2019;1;126;2;0;0
109;2022;2;6;2;0;0
110;2022;2;126;2;0;0
111;2013;4;81;6;0;0
112;2015;6;71;4;0;1
113;2013;3;21;2;0;0
114;2014;4;54;4;0;0
115;2023;13;59;4;3;0
116;2022;12;19;5;2;0
117;2001;2;111;5;0;0
118;2020;6;32;7;1;0
119;2015;5;113;5;1;0
120;2015;5;113;4;0;0
121;2020;9;86;5;1;0
122;2021;9;59;4;2;0
123;2015;3;30;4;0;0
124;2013;3;24;5;0;0
125;2022;8;17;2;1;0
126;2022;9;42;5;2;0
127;2014;3;91;5;0;0
128;2023;7;16;2;1;0
129;2021;7;28;5;1;0
130;2022;17;54;5;4;0
131;2022;8;59;5;1;0
132;2019;6;16;4;1;0
133;2016;4;36;5;0;0
134;2000;2;123;5;0;0
135;2021;6;19;2;1;0
136;2009;2;126;1;0;0
137;2006;2;19;7;0;0
138;2018;5;71;5;1;0
139;2022;11;116;5;2;0
140;2022;9;86;4;1;1
141;1994;1;91;3;0;0
142;2013;4;19;5;0;0
143;2013;3;36;5;0;0
144;2013;6;54;3;1;0
145;2017;5;37;4;1;0
146;2014;0;113;2;0;0
147;2012;3;36;4;0;0
148;2021;7;19;5;1;0
149;2013;2;113;4;0;0
150;2020;5;127;5;1;0
151;2022;16;59;5;3;0
152;2021;13;54;5;1;1
153;2011;3;19;5;0;0
154;2022;13;63;7;1;1
155;2017;8;54;5;1;1
156;2021;7;86;5;1;0
157;2006;2;50;4;0;0
158;2022;7;113;2;1;0
159;2022;12;42;5;1;1
160;2018;8;84;5;1;0
161;2017;6;5;5;1;0
162;2014;2;79;5;0;0
163;1976;0;124;5;0;0
164;2021;12;54;5;3;0
165;1997;1;54;5;0;0
166;2025;38;37;5;13;0
167;2022;13;91;5;3;0
168;2013;5;71;2;1;0
169;2018;5;54;5;0;1
170;2023;10;116;5;2;0
171;2023;18;54;5;4;0
172;2006;4;71;4;0;0
173;2017;0;69;2;0;0
174;2016;1;126;1;0;0
175;2012;2;19;5;0;0
176;2020;10;88;4;2;0
177;2010;4;54;5;0;0
178;2015;5;54;5;1;0
179;2015;3;12;3;0;0
180;2024;8;16;2;1;1
181;2005;2;116;4;0;0
182;2021;2;14;1;0;0
183;2016;8;54;1;1;0
184;2023;13;16;5;3;0
185;2007;2;54;5;0;0
186;2013;3;19;5;0;0
187;2013;1;50;2;0;0
188;2015;1;6;2;0;1
189;2009;2;68;2;0;1
190;2011;4;113;5;0;0
191;2024;21;109;7;3;1
192;2015;4;71;4;0;0
193;2005;2;116;5;0;0
194;2012;4;81;5;0;0
195;2011;3;95;2;0;0
196;2018;16;19;5;4;0
197;2022;26;85;2;8;0
198;2016;5;54;5;1;0
199;2024;12;86;5;1;1
200;2014;2;79;5;0;0
201;2023;7;113;5;1;0
202;1991;0;19;4;0;1
203;2022;7;19;4;1;0
204;2023;2;79;1;0;0
205;2022;6;67;5;0;1
206;2001;1;113;4;0;0
207;2012;2;19;5;0;0
208;2019;14;54;7;2;1
209;2020;7;113;5;1;1
210;2024;12;86;5;2;0
211;2011;2;91;5;0;0
212;2022;8;59;5;1;0
213;2024;15;54;4;3;0
214;2022;9;54;5;2;0
215;2019;6;86;5;1;0
216;2016;5;19;5;0;1
217;2025;21;54;5;3;1
218;2024;14;63;7;3;0
219;2019;13;54;5;1;1
220;2013;3;113;3;0;0
221;2013;3;86;5;0;0
222;2011;3;91;4;0;1
223;2011;2;113;4;0;0
224;2013;4;81;8;0;0
225;2016;3;113;5;0;0
226;2011;4;54;5;0;0
227;2013;4;91;5;0;0
228;2024;9;54;4;1;0
229;2008;2;19;5;0;0
230;2012;0;126;1;0;0
231;2020;23;8;5;3;1
232;2012;5;116;5;1;0
233;2017;4;38;2;0;1
234;2008;3;54;4;0;0
235;2016;10;116;4;1;1
236;2011;5;91;5;1;0
237;2012;2;19;5;0;0
238;2010;4;54;7;0;0
239;2011;4;19;5;0;0
240;2020;10;81;5;2;0
241;2016;5;95;5;0;1
242;2021;9;32;7;1;1
243;2009;3;37;5;0;0
244;2021;9;32;5;1;0
245;2004;2;113;5;0;0
246;2014;4;54;5;0;0
247;2016;5;19;4;1;0
248;2013;3;36;5;0;0
249;2021;2;50;2;0;0
250;2018;4;59;4;0;0
251;2011;3;91;5;0;0
252;2013;2;19;4;0;0
253;2014;2;19;4;0;0
254;2022;7;19;4;0;1
255;2010;4;19;5;0;0
256;2014;2;113;5;0;0
257;2025;11;86;5;2;0
258;2014;1;126;1;0;0
259;2012;6;50;4;1;0
260;2020;12;91;5;2;0
261;2022;15;109;5;2;1
262;2008;4;116;4;0;0
263;2024;25;12;5;2;0
264;2022;8;16;5;1;0
265;2017;8;86;5;1;0
266;2013;2;19;4;0;0
267;2024;8;38;3;1;0
268;2025;102;85;2;42;0
269;2022;10;36;5;1;1
270;2020;1;113;1;0;0
271;2024;11;113;5;2;0
272;2022;9;11;5;1;0
273;2012;2;19;5;0;0
274;2020;12;19;5;3;0
275;2012;2;19;4;0;0
276;2014;6;109;5;1;0
277;2022;8;19;2;1;0
278;2010;4;54;2;0;0
279;2015;6;95;5;1;0
280;2003;1;19;5;0;0
281;2022;9;42;5;2;0
282;2008;4;50;5;0;0
283;2021;7;86;5;1;0
284;2017;3;54;5;0;0
285;2015;3;19;5;0;0
286;2012;4;81;6;0;0
287;2022;7;11;2;1;1
288;2019;4;68;1;0;0
289;2011;2;19;5;0;0
290;2021;10;86;5;2;0
291;2018;6;86;5;1;0
292;2021;10;86;5;1;1
293;2006;2;71;4;0;0
294;1993;1;37;3;0;0
295;1998;2;8;5;0;0
296;2022;14;88;5;3;0
297;2011;3;113;5;0;0
298;2013;3;91;4;0;0
299;2019;8;54;5;1;0
300;2010;3;71;5;0;0
301;2014;6;88;4;1;0
302;2024;9;59;5;1;1
303;2021;9;71;4;1;1
304;2010;2;54;5;0;0
305;2017;10;91;5;1;1
306;2022;13;41;5;3;0
307;2007;3;20;5;0;0
308;1980;0;19;5;0;0
309;2007;2;116;5;0;0
310;2019;5;5;4;1;0
311;2020;6;19;5;1;0
312;2009;2;113;4;0;0
313;2022;3;130;1;0;0
314;2019;9;59;3;1;0
315;2017;9;19;5;1;0
316;2015;8;84;5;1;0
317;2015;2;41;5;0;0
318;2019;10;95;5;1;1
319;2011;2;132;4;0;0
320;2018;5;59;4;0;1
321;2018;8;19;5;1;1
322;2014;3;54;5;0;0
323;2005;2;54;4;0;0
324;2013;3;81;4;0;1
325;2023;15;88;5;3;0
326;1993;1;111;5;0;0
327;2019;6;18;4;0;1
328;2022;9;11;2;1;0
329;2018;7;21;2;1;0
330;2016;8;109;5;1;1
331;2021;4;126;1;0;0
332;2023;13;54;5;3;0
333;2015;3;19;5;0;1
334;2023;39;85;5;13;0
335;2014;3;36;4;0;0
336;2002;2;84;4;0;0
337;2016;4;71;5;0;0
338;2018;5;54;5;1;0
339;2022;15;50;5;3;0
340;2025;11;19;2;1;1
341;2013;3;103;5;0;0
342;2020;8;113;5;1;0
343;2022;52;61;5;9;1
344;2015;10;57;4;2;0
345;2021;6;19;2;1;0
346;2015;5;113;5;1;0
347;2021;13;88;5;1;1
